Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Argentina,1,GK,GUZMAN Nahuel,GUZMAN,#N/A,Tigres UANL,Primera Division,MEX
Argentina,2,DF,MERCADO Gabriel,MERCADO,TRUE,Sevilla FC,Primera Division,ESP
Argentina,3,DF,TAGLIAFICO Nicolas,TAGLIAFICO,TRUE,AFC Ajax,Eredivisie,NED
Argentina,4,DF,ANSALDI Cristian,ANSALDI,#N/A,Torino FC,Serie A,ITA
Argentina,5,MF,BIGLIA Lucas,BIGLIA,#N/A,AC Milan,Serie A,ITA
Argentina,6,DF,FAZIO Federico,FAZIO,TRUE,AS Roma,Serie A,ITA
Argentina,7,MF,BANEGA Ever,BANEGA,TRUE,Sevilla FC,Primera Division,ESP
Argentina,8,DF,ACUNA Marcos,ACUNA,#N/A,Sporting CP,Primeira Liga,POR
Argentina,9,FW,HIGUAIN Gonzalo,HIGUAIN,#N/A,Juventus FC,Serie A,ITA
Argentina,10,FW,MESSI Lionel,MESSI,TRUE,FC Barcelona,Primera Division,ESP
Argentina,11,MF,Dl MARIA Angel,DI MARIA,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Argentina,12,GK,ARMANI Franco,ARMANI,TRUE,CA River Plate,Primera Division,ARG
Argentina,13,MF,MEZA Maximiliano,MEZA,TRUE,CA Independiente,Primera Division,ARG
Argentina,14,DF,MASCHERANO Javier,MASCHERANO,TRUE,Hebei China Fortune FC,Super League,CHN
Argentina,15,MF,Enzo PEREZ,PEREZ,TRUE,CA River Plate,Primera Division,ARG
Argentina,16,DF,ROJO Marcos,ROJO,TRUE,Manchester United FC,Premier League,ENG
Argentina,17,DF,OTAMENDI Nicolas,OTAMENDI,TRUE,Manchester City FC,Premier League,ENG
Argentina,18,DF,SALVIO Eduardo,SALVIO,#N/A,SL Benfica,Primeira Liga,POR
Argentina,19,FW,AGUERO Sergio,AGUERO,TRUE,Manchester City FC,Premier League,ENG
Argentina,20,MF,LO CELSO Giovani,LO CELSO,#N/A,Paris Saint-Germain FC,Ligue 1,FRA
Argentina,21,FW,DYBALA Paulo,DYBALA,#N/A,Juventus FC,Serie A,ITA
Argentina,22,MF,PAVON Cristian,PAVON,TRUE,CA Boca Juniors,Primera Division,ARG
Argentina,23,GK,CABALLERO Wilfredo,Willy CABALLERO,#N/A,Chelsea FC,Premier League,ENG
Belgium,1,GK,COURTOIS Thibaut,COURTOIS,TRUE,Chelsea FC,Premier League,ENG
