FIFA Display Name,Spieler,Minutes_played,POS,DoB,Club,Club_Country,Club_Liga1,Nationalmannschaft,WM_Tore_NM,WM_Gegentore_NM,Tordifferenz,Gruppenphase_1,Gruppenphase_2,Gruppenphase_3,Punkte_Gruppenphase
Mitch LANGERAK,LANGERAK,0,GK,22.08.88,Borussia Dortmund,GER,Bundesliga,Australia,3,9,-6,0,0,0,0
Daniel VAN BUYTEN,VAN BUYTEN,480,DF,07.02.78,FC Bayern München,GER,Bundesliga,Belgium,4,1,3,3,3,3,9
Kevin DE BRUYNE,DE BRUYNE,390,MF,28.06.91,VfL Wolfsburg,GER,Bundesliga,Belgium,4,1,3,3,3,3,9
Emir SPAHIC,SPAHIC,270,DF,18.08.80,Bayer 04 Leverkusen,GER,Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Sead KOLASINAC,KOLASINAC,180,DF,20.06.93,FC Schalke 04,GER,Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Vedad IBISEVIC,IBISEVIC,144,FW,06.08.84,VfB Stuttgart,GER,Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
Sejad SALI HO VIC,SALIHOVIC,43,MF,08.10.84,TSG 1899 Hoffenheim,GER,Bundesliga,Bosnia and Herzegovina,4,4,0,0,0,3,3
LUIZ GUSTAVO,L GUSTAVO,0,MF,23.07.87,VfL Wolfsburg,GER,Bundesliga,Brazil,7,2,5,3,1,3,7
DANTE,DANTE,90,DF,18.10.83,FC Bayern München,GER,Bundesliga,Brazil,7,2,5,3,1,3,7
Eric CHOUPO MOTING,CHOUPO,246,FW,23.03.89,FSV Mainz 05,GER,Bundesliga,Cameroon,1,9,-8,0,0,0,0
Joel MATIP,MATIP,180,MF,08.08.91,FC Schalke 04,GER,Bundesliga,Cameroon,1,9,-8,0,0,0,0
Adrian RAMOS,RAMOS,270,FW,22.01.86,Hertha BSC,GER,Bundesliga,Colombia,9,2,7,3,3,3,9
Junior DIAZ,DIAZ J,510,DF,12.09.83,FSV Mainz 05,GER,Bundesliga,Costa Rica,4,1,3,3,3,1,7
Konan YA,YA KONAN,0,MF,22.05.84,Hannover 96,GER,Bundesliga,Cote d'Ivoire,4,5,-1,3,0,0,3
Arthur BOKA,BOKA,255,DF,02.04.83,VfB Stuttgart,GER,Bundesliga,Cote d'Ivoire,4,5,-1,3,0,0,3
ConstantDJAKPA,DJAKPA,15,DF,17.10.86,Eintracht Frankfurt,GER,Bundesliga,Cote d'Ivoire,4,5,-1,3,0,0,3
Ivan PERISIC,PERISIC,258,MF,02.02.89,VfL Wolfsburg,GER,Bundesliga,Croatia,6,4,2,0,3,0,3
Ivica OLIC,OLIC,228,FW,14.09.79,VfL Wolfsburg,GER,Bundesliga,Croatia,6,4,2,0,3,0,3
Mario MANDZUKIC,MANDZUKIC,180,FW,21.05.86,FC Bayern München,GER,Bundesliga,Croatia,6,4,2,0,3,0,3
Carlos GRUEZO,GRUEZO,97,MF,19.04.95,VfB Stuttgart,GER,Bundesliga,Ecuador,3,3,0,0,3,1,4
Ron0Robert ZIELER,ZIELER,0,GK,12.02.89,Hannover 96,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Roman WEIDENFELLER,WEIDENFELLER,0,GK,06.08.80,Borussia Dortmund,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Kevin GROSSKREUTZ,GROSSKREUTZ,0,DF,19.07.88,Borussia Dortmund,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Erik DURM,DURM,0,DF,12.05.92,Borussia Dortmund,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Benedikt HOEWEDES,HOEWEDES,690,DF,29.02.88,FC Schalke 04,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Manuel NEUER,NEUER,690,GK,27.03.86,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Philipp LAHM,LAHM,690,MF,11.11.83,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Toni KROOS,KROOS,690,MF,04.01.90,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Thomas MUELLER,MÜLLER,682,FW,13.09.89,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Jerome BOATENG,BOATENG,646,DF,03.09.88,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Mats HUMMELS,HUMMELS,509,DF,16.12.88,Borussia Dortmund,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Bastian SCHWEIN STEIGER,SCHWEINSTEIGER,505,MF,01.08.84,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Mario GOETZE,GÖTZE,258,FW,03.06.92,FC Bayern München,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Christoph KRAMER,KRAMER,43,MF,19.02.91,Borussia Mönchengladbach,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Julian DRAXLER,DRAXLER,14,MF,20.09.93,FC Schalke 04,GER,Bundesliga,Germany,7,2,5,3,1,3,7
Kevin Prince BOATENG,BOATENG,646,FW,06.03.87,FC Schalke 04,GER,Bundesliga,Ghana,4,6,-2,0,1,0,1
Sokratis PAPASTATHO POULOS,SOKRATIS,390,DF,09.06.88,Borussia Dortmund,GER,Bundesliga,Greece,2,4,-2,0,1,3,4
Gotoku SAKAI,G. SAKAI,0,DF,14.03.91,VfB Stuttgart,GER,Bundesliga,Japan,2,6,-4,0,1,0,1
Hiroki SAKAI,H. SAKAI,0,DF,12.04.90,Hannover 96,GER,Bundesliga,Japan,2,6,-4,0,1,0,1
Atsuto UCHIDA,UCHIDA,270,DF,27.03.88,FC Schalke 04,GER,Bundesliga,Japan,2,6,-4,0,1,0,1
Shinji OKAZAKI,OKAZAKI,249,FW,16.04.86,FSV Mainz 05,GER,Bundesliga,Japan,2,6,-4,0,1,0,1
PARK Jooho,J H PARK,0,DF,16.01.87,FSV Mainz 05,GER,Bundesliga,Korea Republic,3,6,-3,1,0,0,1
KOO Jacheol,J C KOO,270,FW,27.02.89,FSV Mainz 05,GER,Bundesliga,Korea Republic,3,6,-3,1,0,0,1
HONG Jeongho,J H HONG,253,DF,12.08.89,FC Augsburg,GER,Bundesliga,Korea Republic,3,6,-3,1,0,0,1
SON Heungmin,H M SON,247,MF,08.07.92,Bayer 04 Leverkusen,GER,Bundesliga,Korea Republic,3,6,-3,1,0,0,1
Jl Dongwon,D W JI,29,MF,28.05.91,FC Augsburg,GER,Bundesliga,Korea Republic,3,6,-3,1,0,0,1
Andres GUARDADO,GUARDADO,333,DF,28.09.86,Bayer 04 Leverkusen,GER,Bundesliga,Mexico,4,1,3,3,1,3,7
Arjen ROBBEN,ROBBEN,690,FW,23.01.84,FC Bayern München,GER,Bundesliga,Netherlands,10,3,7,3,3,3,9
Paul VERHAEGH,VERHAEGH,56,DF,01.09.83,FC Augsburg,GER,Bundesliga,Netherlands,10,3,7,3,3,3,9
Klaas Jan HUNTELAAR,HUNTELAAR,52,FW,12.08.83,FC Schalke 04,GER,Bundesliga,Netherlands,10,3,7,3,3,3,9
VIEIRINHA,VIEIRINHA,21,FW,24.01.86,VfL Wolfsburg,GER,Bundesliga,Portugal,4,7,-3,0,1,3,4
Javi MARTINEZ,JAVI MARTINEZ,90,MF,02.09.88,FC Bayern München,GER,Bundesliga,Spain,4,7,-3,0,0,3,3
Tranquillo BARNETTA,BARNETTA,0,MF,22.05.85,Eintracht Frankfurt,GER,Bundesliga,Switzerland,7,6,1,3,0,3,6
