Team,#,Pos.,Player,Alias,HAS_PLAYED,Club,League,CountryCode
Argentina,1,GK,GUZMAN Nahuel,GUZMAN,TRUE,Tigres UANL,Primera Division,MEX
Argentina,2,DF,MERCADO Gabriel,MERCADO,TRUE,Sevilla FC,Primera Division,ESP
Argentina,3,DF,TAGLIAFICO Nicolas,TAGLIAFICO,TRUE,AFC Ajax,Eredivisie,NED
Argentina,4,DF,ANSALDI Cristian,ANSALDI,FALSE,Torino FC,Serie A,ITA
Argentina,5,MF,BIGLIA Lucas,BIGLIA,TRUE,AC Milan,Serie A,ITA
Argentina,6,DF,FAZIO Federico,FAZIO,FALSE,AS Roma,Serie A,ITA
Argentina,7,MF,BANEGA Ever,BANEGA,TRUE,Sevilla FC,Primera Division,ESP
Argentina,8,DF,ACUNA Marcos,ACUNA,TRUE,Sporting CP,Primeira Liga,POR
Argentina,9,FW,HIGUAIN Gonzalo,HIGUAIN,TRUE,Juventus FC,Serie A,ITA
Argentina,10,FW,MESSI Lionel,MESSI,TRUE,FC Barcelona,Primera Division,ESP
Argentina,11,MF,Dl MARIA Angel,DI MARIA,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Argentina,12,GK,ARMANI Franco,ARMANI,TRUE,CA River Plate,Primera Division,ARG
Argentina,13,MF,MEZA Maximiliano,MEZA,TRUE,CA Independiente,Primera Division,ARG
Argentina,14,DF,MASCHERANO Javier,MASCHERANO,TRUE,Hebei China Fortune FC,Super League,CHN
Argentina,15,MF,Enzo PEREZ,Enzo PEREZ,TRUE,River Plate,Primera Division,ARG
Argentina,16,DF,ROJO Marcos,ROJO,TRUE,Manchester United FC,Premier League,ENG
Argentina,17,DF,OTAMENDI Nicolas,OTAMENDI,TRUE,Manchester City FC,Premier League,ENG
Argentina,18,DF,SALVIO Eduardo,SALVIO,TRUE,SL Benfica,Primeira Liga,POR
Argentina,19,FW,AGUERO Sergio,AGUERO,TRUE,Manchester City FC,Premier League,ENG
Argentina,20,MF,LO CELSO Giovani,LO CELSO,FALSE,Paris Saint-Germain FC,Ligue 1,FRA
Argentina,21,FW,DYBALA Paulo,DYBALA,TRUE,Juventus FC,Serie A,ITA
Argentina,22,MF,PAVON Cristian,PAVON,TRUE,CA Boca Juniors,Primera Division,ARG
Argentina,23,GK,CABALLERO Wilfredo,Willy CABALLERO,TRUE,Chelsea FC,Premier League,ENG
Australia,1,GK,RYAN Mathew,RYAN,TRUE,Brighton & Hove Albion FC,Premier League,ENG
Australia,2,DF,DEGENEK Milos,DEGENEK,FALSE,Yokohama F-Marinos,J1 League,JPN
Australia,3,DF,MEREDITH James,MEREDITH,FALSE,Millwall FC,Championship,ENG
Australia,4,FW,CAHILL Tim,T. CAHILL,TRUE,Millwall FC,Championship,ENG
Australia,5,DF,MILLIGAN Mark,MILLIGAN,TRUE,Al Ahli SC,Saudi Professional League,KSA
Australia,6,DF,JURMAN Matthew,JURMAN,FALSE,Suwon Samsung Bluewings FC,K League,KOR
Germany,3,DF,HECTOR Jonas,J. HECTOR,TRUE,1. FC Koln,Bundesliga,GER
Australia,8,MF,LUONGO Massimo,LUONGO,FALSE,Queens Park Rangers FC,Championship,ENG
Australia,9,FW,JURICTomi,JURIC,TRUE,FC Luzern,Super League,SUI
Australia,10,FW,KRUSE Robbie,R. KRUSE,TRUE,VfL Bochum,2. Bundesliga,GER
Australia,11,FW,NABBOUT Andrew,NABBOUT,TRUE,Urawa Reds,J1 League,JPN
Australia,12,GK,JONES Brad,JONES,FALSE,Feyenoord Rotterdam,Eredivisie,NED
Australia,13,MF,MOOY Aaron,MOOY,TRUE,Huddersfield Town FC,Premier League,ENG
Australia,14,FW,MacLAREN Jamie,MACLAREN,FALSE,Hibernian FC,Premier League,SCO
Australia,15,MF,JEDINAK Mile,JEDINAK,TRUE,Aston Villa FC,Championship,ENG
Australia,16,DF,BEHICH Aziz,BEHICH,TRUE,Bursaspor,Süper Lig,TUR
Australia,17,FW,ARZANI Daniel,ARZANI,TRUE,Melbourne City FC,A-League,AUS
Australia,18,GK,VUKOVIC Danny,VUKOVIC,FALSE,KRC Genk,First Division A,BEL
Australia,19,DF,RISDON Joshua,RISDON,TRUE,WS Wanderers FC,A-League,AUS
Australia,20,DF,SAINSBURY Trent,SAINSBURY,TRUE,Grasshopper Club,Super League,SUI
Australia,21,FW,PETRATOS Dimitrios,PETRATOS,FALSE,Newcastle United Jets FC,A-League,AUS
Australia,22,MF,IRVINE Jackson,IRVINE,TRUE,Hull City FC,Championship,ENG
Australia,23,MF,ROGIC Tom,ROGIC,TRUE,Celtic FC,Premier League,SCO
Belgium,1,GK,COURTOIS Thibaut,COURTOIS,TRUE,Chelsea FC,Premier League,ENG
Belgium,2,DF,ALDERWEIRELD Toby,ALDERWEIRELD,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,3,DF,VERMAELEN Thomas,VERMAELEN,TRUE,FC Barcelona,Primera Division,ESP
Belgium,4,DF,KOMPANY Vincent,KOMPANY,TRUE,Manchester City FC,Premier League,ENG
Belgium,5,DF,VERTONGHEN Jan,VERTONGHEN,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,6,MF,WITSEL Axel,WITSEL,TRUE,Tianjin Quanjian FC,Super League,CHN
Belgium,7,MF,DE BRUYNE Kevin,DE BRUYNE,TRUE,Manchester City FC,Premier League,ENG
Belgium,8,MF,FELLAINI Marouane,FELLAINI,TRUE,Manchester United FC,Premier League,ENG
Belgium,9,FW,LUKAKU Romelu,R. LUKAKU,TRUE,Manchester United FC,Premier League,ENG
Belgium,10,FW,HAZARD Eden,E. HAZARD,TRUE,Chelsea FC,Premier League,ENG
Belgium,11,MF,CARRASCO Yannick,CARRASCO,TRUE,Dalian Yifang FC,Super League,CHN
Belgium,12,GK,MIGNOLET Simon,MIGNOLET,FALSE,Liverpool FC,Premier League,ENG
Belgium,13,GK,CASTEELS Koen,CASTEELS,FALSE,VfL Wolfsburg,Bundesliga,GER
Belgium,14,FW,MERTENS Dries,MERTENS,TRUE,SSC Napoli,Serie A,ITA
Belgium,15,DF,MEUNIER Thomas,MEUNIER,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Japan,15,FW,OSAKO Yuya,OSAKO,TRUE,1. FC Koln,Bundesliga,GER
Belgium,17,MF,TIELEMANS Youri,TIELEMANS,TRUE,AS Monaco,Ligue 1,FRA
Belgium,18,FW,JANUZAJ Adnan,JANUZAJ,TRUE,Real Sociedad,Primera Division,ESP
Belgium,19,MF,DEMBELE Moussa,DEMBELÉ,TRUE,Tottenham Hotspur FC,Premier League,ENG
Belgium,20,DF,BOYATA Dedryck,BOYATA,TRUE,Celtic FC,Premier League,SCO
Croatia,13,DF,JEDVAJ Tin,JEDVAJ,TRUE,Bayer 04 Leverkusen,Bundesliga,GER
Belgium,22,MF,CHADLI Nacer,CHADLI,TRUE,West Bromwich Albion FC,Premier League,ENG
Belgium,23,DF,DENDONCKERLeander,DENDONCKER,TRUE,RSC Anderlecht,First Division A,BEL
Brazil,1,GK,ALISSON,ALISSON,TRUE,AS Roma,Serie A,ITA
Brazil,2,DF,THIAGO SILVA,THIAGO SILVA,TRUE,Paris Saint-Germain FC,Ligue 1,FRA
Brazil,3,DF,MIRANDA,MIRANDA,TRUE,FC Internazionale,Serie A,ITA
Brazil,4,DF,PEDRO GEROMEL,GEROMEL,FALSE,Gremio FBPA,Serie A,BRA
